REGISTRO,INMUEBLE,AYUNTAMIENTO,LOCALIDAD,DATE,YEAR
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita S. Miguel,Sangüesa,,11/03/2000,2000
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia de San Martín,Allín ,,11/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia de San Román,Allín ,Amillano ,11/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Pedro,Yerri, Lezaun ,11/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Román,Yerri,Murugarren ,11/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Clemente,Yerri,Zabal ,11/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Emeterio y San Celedonio,Dicastillo ,,11/04/2205,2205
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Sebastian,Allín,Aramendía ,11/04/2005,8660
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Miguel,Artazu ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Tierra de labor en término Unea,Artazu ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Román,Cirauqui ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa Catalina,Cirauqui ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Casa parroquial,Cirauqui ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,"Almaccén , calle Portal nº 13",Cirauqui ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Pastos en el paraje Iturmendi,Cirauqui ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Pastos en el paraje Zabalburua,Cirauqui ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cereal en paraje Arradiaq,Cirauqui ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Pastos en “Bitartea”,Guirguillano ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Pastos en “camino de S. Andrés”,Guirguillano ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Pedro,Guirguillano ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Pastos en “Aparra”,Guirguillano ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Román,Guirguillano ,Etxarren,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Gurguillano Tierra de labor “Etxarrenaldea”,Guirguillano ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Pedro,Mañeru ,,13/02/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia San Juan,Garralda ,,13/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Salvador,Izalzu,,13/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Salvador,Jaurrieta,,13/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Cipriano,Roncal- Isaba,,13/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Urzainqui, ,13/03/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 29 Concwntración Parcelaria,Guesalaz, Iturgoyen ,13/09/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 29 Concwntración Parcelaria,Guesalaz, Iturgoyen,13/09/2005,2005
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Vicente,Sada ,,13/11/2002,2002
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Miguel,Aoiz ,,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Casa Parroquial,Aoiz ,,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Atrio frente a parroquia,Aoiz ,,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Garaje c/ S. Miguel 1-C,Aoiz ,,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca de pastos,Ezprogui,Ayesa,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Andres,Ezprogui,Ayesa,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Longuida,Aos ,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Lanoa,Longuida,Aos ,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Lanoa,Longuida,Aos ,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Lanoa,Longuida,Aos ,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Lanoa parcela 104,Longuida,Aos ,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Longuida,Artajo,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en plaza Alberto Martin,Longuida,Artajo,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca parcela 302 en Llano,Longuida,Artajo,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Longuida,Meoz ,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Longuida,Murillo ,13/11/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Solar debajo Zaldiburu,Eulate,,14/04/2001,2001
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita de San Blas,Allín ,,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita de Santa Bárbara,Allín ,Galdeano ,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Allín ,Larrión ,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Vicente,Allín ,Munieta ,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Allín ,Zubelqui ,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia de San Esteban,Allín ,Artavia ,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Sebastian,Allín ,Eulz ,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Pedro,Allín ,Galdeano ,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE TAFALLA,Parroquia S. Esteban,Leoz ,Amatriain ,14/04/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Paraje Corraliza de Lagaza,Lerín,Olivar ,14/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Lerín,,14/06/2006,2006
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Virgen Blanca,Lerín,,14/06/2006,2006
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Arbolado en Elizondoa,Donamaría,Gaztelu ,14/08/2007,2007
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Julian,Arce,Nagore ,14/10/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Caseda,,14/10/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Complejo parroquial,Caseda,San Isidro ,14/10/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Urroz, ,14/10/2003,2003
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Casa – Calle San Anddrés nº 25 B,Cendea de Cizur,Zariquiegui,14/11/2001,2001
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Casa- Calle San Andrés nº 25 A,Cendea de Cizur,Zariquiegui,14/11/2001,2001
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita Santa Bárbara,Almandoz ,,14/12/1999,1999
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Roque,Arano ,,14/12/1999,1999
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Miguel,Doneztebe ,,14/12/1999,1999
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Lázaro,Goizueta ,,14/12/1999,1999
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Antón,Goizueta ,,14/12/1999,1999
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita San Marcos,Labayen ,,14/12/1999,1999
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Terreno Aexo Ermita San Marco,Labayen ,,14/12/1999,1999
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita San Cosme y San Damian,Allín,Galdeano,14-04.2005,2005
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Andres,Esparza ,,15/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Roman,Ezkaroz ,,15/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia San Esteban,Güesa ,,15/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia San Vicente,Güesa ,Igal ,15/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Santiago,Valcarlos,Luzaide ,15/03/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Terreno regadío nº9 Poligono 1 La planilla,Azagra ,,15/10/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Regadío finca nº9 La planilla,Azagra ,,15/10/2002,2002
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Lerga ,,15/10/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Esteribar,Zabaldika ,16/04/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,"Terreno de secano, nº 97 Concentración",Barbarin ,,16/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 97 concentración parcelaria,Barbarin ,,16/05/2005,2005
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Miguel,Eslava ,,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Javier ,,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Casa Parroquial,Javier ,,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Leatxe ,,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Liedena ,,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca el Abrevadero,Liedena ,,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta. Maria,Lizoain,Beortegui ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Lizoain,Lerruz ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Miguel,Lizoain, ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Lizoain,Mendioroz ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Fronton c/ S. Pedro,Lizoain,,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Lizoain,Oscariz ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Andres,Lizoain,Redin ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Purisima,Lizoain,Uroz ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Juan,Lizoain,Zalba ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Roman,Lizoain,Zunzarren ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Lumbier, ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Romanzado,Arbonies,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Romanzado,Domeño ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Vicente,Romanzado,Murillo Berroya ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ, Parroquia S. Saturnino,Romanzado,Usun,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Urraul Alto,Adoain ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Juan,Urraul Alto,Ayechu ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Urraul Alto,Elcuaz ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Andres,Urraul Alto,Eparoz ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Del Rosario,Urraul Alto,Imirizaldu ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Adrian,Urraul Alto,Irurozqui ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Atrio 300 m2,Urraul Alto,Irurozqui,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Purisima,Urraul Alto,Ongoz ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Urraul Alto,Ozcoidi ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Urraul Alto,Zabalza ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Cornelio,Urraul Bajo,Artieda ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta. Quiteria,Urraul Bajo,Grez ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Juan Evangelista,Urraul Bajo,Nardues ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Purificacion,Urraul Bajo,Ripodas ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Purificacion,Urraul Bajo,Sansoain ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Andres,Urraul Bajo,San Vicente ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Juan,Urraul Bajo,Tabar ,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Yesa ,,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Almacen nº 21,Yesa ,,16/08/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Burgui ,,16/08/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Virgen Del Castillo,Burgui ,,16/08/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Castillo Nuevo ,,16/08/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Santiago,Garde ,,16/08/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca pastos en Aranea,Garde ,,16/08/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Esteban,Roncal ,,16/08/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Vidangoz ,,16/08/2006,2006
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,"Parroquia antigua, c./ Pueblo Viejo",Barañain,,16/11/2004,2004
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Parroquia San Cosme y San Damian,Cendea de Cizur,Astrain ,16/11/2004,2004
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Parroquia San Emeterio y San Celedonio,Cendea de Cizur,Cizur Menor ,16/11/2004,2004
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Parroquia Santa María,Cendea de Cizur,Gazolaz ,16/11/2004,2004
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Parroquia San Esteban,Cendea de Cizur,Muru-Astrin ,16/11/2004,2004
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Parroquia San Martín,Cendea de Cizur,Paternain ,16/11/2004,2004
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Parroquia San Martín,Cendea de Cizur,Undiano ,16/11/2004,2004
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Parroquia San Andrés,Cendea de Cizur,Zariquiegui ,16/11/2004,2004
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Parroquia San Miguel,Cendea de Cizur,Sagües,16/11/2004,2004
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Parroquia San Andrés,Cizur Mayor ,,16/11/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Sta. María,Desojo ,,17/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita Ntra. Sra. De Villanueva,Desojo ,,17/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Román,Metauten ,,17/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Nicolás,Metauten ,Arteaga ,17/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Metauten ,Ollobarren ,17/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Martin,Metauten ,Ollogoyen ,17/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Miguel,Metauten ,Zufia ,17/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Miguel,Oteiza De La Solana ,,17/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ermita S. Tirso,Oteiza De La Solana ,,17/01/2002,2002
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Planta Baja – Plaza El Salvador nº1,Azagra, ,17/02/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Local planta baja Plaza del Salvador,Azagra, ,17/02/2005,2005
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Burundoa,Gallues,Izal ,17/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en la sierra,Gallues,Uscarres ,17/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Bartolome,Gallues,,17/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Cosme y S. Damian,Gallues,Icitz ,17/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Vicente,Gallues,Izal ,17/03/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Asuncion,Gallues,Uscarres ,17/03/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Santa Cruz,Aguilar de Codés ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Andrés,Ancín,Mendilibarri ,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Fausto,Ancín,Mendilibarri ,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Sta. María,Armañanzas ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Jorge,Azuelo ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Andrés,El Busto ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,San Vicente Martir,Espronceda ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Etayo y learza ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Esteban,Genevilla ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Lapoblación ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Santa María,Lapoblación ,Meano,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia Ntra. Sra del Rosario,Lazagurria ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Juan Bautista,Mendavia ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Natividad,Piedramillera ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Templo de S. Andrés,San Adrian ,,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia San Martín,Torralba del Rio,Otiñano ,17/06/2005,2005
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Almacén Calle San martín nº 30A,Ibargoiti,Izco ,17/06/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Zaldiribar,Longuida,Meoz ,17/10/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Zaldiribar 1.578 m2,Longuida,Meoz ,17/10/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Zaldiribar 3.436 m2,Longuida,Meoz ,17/10/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Zaldiribar 4.355 m2,Longuida,Meoz ,17/10/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Zaldiribar 8.968 m2,Longuida,Meoz ,17/10/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca en Murugain 3.944 m2,Longuida,Meoz ,17/10/2006,2006
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Finca Iturzar 3.880 m2,Longuida,Meoz ,17/10/2006,2006
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Parroquia San Pedro,Estella ,,17/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Parroquia San Miguel,Estella ,,17/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Iglesia Sn Pedro de Lizarra,Estella ,,17/12/2004,2004
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .2.,Parroquia San Juan Bautista,Estella ,,17/12/2004,2004
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Ermita en Egibe,Aranatz ,,18/08/2000,2000
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Pedro,Almandoz ,,18/12/2001,2001
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Juan Bautista,Aritzkun ,,18/12/2001,2001
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia La Asunción,Arraiotz,,18/12/2001,2001
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Martín,Berroeta ,,18/12/2001,2001
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia La Asunción,Maya ,,18/12/2001,2001
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Parroquia San Lorenzo,Ziga ,,18/12/2001,2001
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Sta. Barbara,Monreal ,,19/11/1999,1999
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 4 concentración parcelaria,Sesma ,,20/03/2007,2007
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 21 concentración parcelaria,Sesma ,,20/03/2007,2007
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Finca nº 15-B concentración parcelaria,Sesma ,,20/03/2007,2007
