REGISTRO,INMUEBLE,AYUNTAMIENTO,LOCALIDAD,DATE,YEAR
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Miguel,Larraun,Baraibar,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Miguel,Larraun,Etxarri ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Miguel,Larraun,Huici ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Miguel,Leitza ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Miguel,Olazagutia ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Miguel,Ulzama,Ilarregui ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Millán,Iza ,Lete ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ermita S. Urbano,Odieta ,Gascue ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita S. Sebastian,Lakuntza ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita S. Sebastian,Olazagutia ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Sebastian,Ulzama,Juarbe ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Tierra de labor Urdaizoko,Iza ,Larumbe ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Clemente,Ergoyena,Lizarraga,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Gregorio,Ollo ,Saldise,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ermita S. Gregorio,Etxarri ,Aranaz ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Gregorio,Larraun,Albiasu ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Ermita S. Salvador,Obanos ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Parroquia S. Salvador,Ollo ,Arteta ,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Salvador,Lakuntza,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Parroquia S. Tiburcio,Basaburua,Oroquieta ,,
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Vivienda nº 2 San Cosme y San Damian,Cendea de Cizur ,Astrain ,01/02/2000,2000
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Despacho nº2 ” ” 01/02/2000,Cendea de Cizur ,Astrain ,01/02/2000,2000
