REGISTRO,AYUNTAMIENTO,DATE,INMUEBLE,LOCALIDAD,YEAR,latitude,longitude
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Basaburua,,Parroquia S. Miguel,Beramendi,,42.98007955,-1.82289281320793
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Basaburua,,Parroquia S. Miguel,Udabe,,42.9736359,-1.82537561467724
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ergoyena,,Ermita S. Miguel,Lizarraga,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Imoz,,Parroquia S. Miguel,Eraso,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Imoz,,Parroquia S. Miguel,Zarranz,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Irañeta ,,Ermita Liatzeta – S. Miguel,,,42.9233048,-1.9455388
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Iturmendi ,,Parroquia S. Miguel,,,42.8898506,-2.1179049
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Larraun,,Parroquia S. Miguel,Baraibar,,42.9901309,-1.9218251
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Larraun,,Parroquia S. Miguel,Etxarri ,,43.0109183,-1.8760375
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Larraun,,Parroquia S. Miguel,Huici ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Leitza ,,Parroquia S. Miguel,,,43.0847898,-1.9186828
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Olazagutia ,,Parroquia S. Miguel,,,42.8756919,-2.1970599
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ulzama,,Parroquia S. Miguel,Ilarregui ,,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Iza ,,Parroquia S. Millán,Lete ,,42.8650787,-1.7967242
REGISTRO DE LA PROPIEDAD DE PAMPLONA Nº 3 PAMPLONA/IRUÑA Nº .3.,Odieta ,,Ermita S. Urbano,Gascue ,,42.9395004,-1.66608306056222
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Lakuntza ,,Ermita S. Sebastian,,,42.9222192,-2.0227655
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Olazagutia ,,Ermita S. Sebastian,,,42.8756919,-2.1970599
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .8.,Ulzama,,Parroquia S. Sebastian,Juarbe ,,,
