REGISTRO,AYUNTAMIENTO,DATE,INMUEBLE,LOCALIDAD,YEAR,latitude,longitude
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca Baluriaran 3.549 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Pastos olivar Artadubarren 1.003,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca Balurriaran 3.256,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Pastos El Lezcal 12.006 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Pastos Santa Criz 2.972 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Pastos Santa Criz 3.022 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca en Dorreta 4.529 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca el Epaizaral 5.250 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,08/06/2004,Finca en Zaldinaga 6.898 m2,,2004.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cirauqui ,09/01/2007,Finca nº 166 concentración parcelaria,,2007.0,42.65930355,-1.90130296376635
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cirauqui ,09/01/2007,Finca nº 1100 concentración parcelaria,,2007.0,42.65930355,-1.90130296376635
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Erro,09/09/2003,Parroquia S. Bartolome,Cilveti,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Finca,Esquiroz-Ilarraz,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Gil,Agorreta,2003.0,42.94591385,-1.49000859645264
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia La Inmaculada y cementerio,Antxoriz,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Justo,Aquerreta ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia La Inmaculada,Errea ,2003.0,42.9563344,-1.5451922
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,"Parroquia S. Martin, porche y cementerio",Esquiroz-Ilarraz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Gil,Eugui ,2003.0,42.9786319,-1.5117927
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia Sta. Eulalia,Guendulain ,2003.0,42.8884353,-1.5719592
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Miguel,Idoy ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia del Rosario y cementerio,Ilurdoz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Martin,Imbuluzqueta ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Lorenzo,Iragui ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Pedro,Iroz ,2003.0,42.8613616,-1.5712169
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia La Asuncion,Irure ,2003.0,42.89976905,-1.5337895584359
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Nicolas,Larrasoaña,2003.0,42.90207815,-1.54124912278709
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Adrian,Leranoz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Adrian,Olloki ,2003.0,42.8405744,-1.5836331
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia La Asuncion,Osteritz,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Cristóbal,Saigos ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia Stas. Nunilo y Arrodia,Sarasibar ,2003.0,42.902861,-1.5679714
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Juan Bautista,Setuain ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Miguel,Urdaniz ,2003.0,42.9123898,-1.5244546
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia La Asuncion,Urtasun ,2003.0,42.9637599,-1.5154415
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Esteban,Usetxi ,2003.0,42.9485116,-1.5388182
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Parroquia S. Esteban,Zubiri ,2003.0,42.9306209,-1.5045346
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,"Parroquia S. Millan, almacen y cementerio",Zubiain ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,09/09/2003,Prado en Zuriainbide,Antxoriz ,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida ,09/09/2003,Parroquia S. Martin,,2003.0,42.7807854,-1.40127448345065
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida ,09/09/2003,Parroquia Las Nieves,Erdozain ,2003.0,42.7953143,-1.4014958
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce ,09/11/1999,Ermita S. Martin,,1999.0,42.88939555,-1.37804873285884
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce ,09/11/1999,Ermita Virgen Del Camino,,1999.0,42.88939555,-1.37804873285884
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Izagaondoa,09/11/1999,Ermita Santos Justo y Pastor,Indurain ,1999.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ochagavía,09/11/1999,Ermita Virgen de Muskilda,,1999.0,42.9064357,-1.0902447
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ochagavía,09/11/1999,Ermita Virgen de Las Nieves,,1999.0,42.9064357,-1.0902447
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Romanzado,09/11/1999,Ermita S. Pedro,Usun ,1999.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urzainqui ,09/11/1999,Ermita S. Salvador,,1999.0,42.8407792,-0.943315021268308
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Anitz ,10/04/2002,Parroquia La Asunción,,2002.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Elbetea ,10/04/2002,Parroquia Santa Cruz,,2002.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Garzain ,10/04/2002,Parroquia San Martín,,2002.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Garzain ,10/04/2002,Basílica Ntra. Sñra dei Oilar,,2002.0,,
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Oronoz Mugaire ,10/04/2002,Parroquia La Asunción,,2002.0,,
REGISTRO DE LA PROPIEDAD DE TAFALLA,Artajona ,10/07/2001,Ermita Ntra. Sra de Jerusalen,,2001.0,42.5872827,-1.7643793
REGISTRO DE LA PROPIEDAD DE TAFALLA,Artajona ,10/07/2001,Basilica S. Saturnino del Cerco,,2001.0,42.5872827,-1.7643793
REGISTRO DE LA PROPIEDAD DE TAFALLA,Barasoain ,10/07/2001,Ermita de San Pedro,,2001.0,42.6049597,-1.6457007
REGISTRO DE LA PROPIEDAD DE TAFALLA,Barasoain ,10/07/2001,Ermita San Miguel,,2001.0,42.6049597,-1.6457007
REGISTRO DE LA PROPIEDAD DE TAFALLA,Barasoain ,10/07/2001,Ermita Santa Lucia,,2001.0,42.6049597,-1.6457007
REGISTRO DE LA PROPIEDAD DE TAFALLA,Garinoain ,10/07/2001,Ermita Cristo de Catalain,,2001.0,42.6006876,-1.6456923
REGISTRO DE LA PROPIEDAD DE TAFALLA,Garinoain ,10/07/2001,Ermita Santa Cecilia,,2001.0,42.6006876,-1.6456923
REGISTRO DE LA PROPIEDAD DE TAFALLA,Pueyo ,10/07/2001,Ermita de Santiago,,2001.0,42.5658927,-1.6478139
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,10/09/2007,Ermita Ntra. Sra. De Mendigaña,Azcona ,2007.0,42.7410554,-1.9942754
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Sangüesa,11/03/2000,Ermita S. Miguel,,2000.0,42.5754899,-1.283336
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,11/04/2005,Parroquia de San Martín,,2005.0,42.7073588,-2.08981655315659
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,11/04/2005,Parroquia de San Román,Amillano ,2005.0,42.7184704,-2.0730666
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,11/04/2005,Parroquia San Pedro, Lezaun ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,11/04/2005,Parroquia San Román,Murugarren ,2005.0,42.7024312,-2.0094746
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Yerri,11/04/2005,Parroquia S. Clemente,Zabal ,2005.0,42.7204498,-1.9300655
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Dicastillo ,11/04/2205,Parroquia San Emeterio y San Celedonio,,2205.0,42.5945083,-2.0283583
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín,11/04/2005,Parroquia San Sebastian,Aramendía ,8660.0,42.7110835,-2.1056287
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Artazu ,13/02/2004,Parroquia San Miguel,,2004.0,42.6913086,-1.8401742
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Artazu ,13/02/2004,Tierra de labor en término Unea,,2004.0,42.6913086,-1.8401742
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cirauqui ,13/02/2004,Parroquia San Román,,2004.0,42.65930355,-1.90130296376635
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cirauqui ,13/02/2004,Parroquia Santa Catalina,,2004.0,42.65930355,-1.90130296376635
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cirauqui ,13/02/2004,Casa parroquial,,2004.0,42.65930355,-1.90130296376635
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cirauqui ,13/02/2004,"Almaccén , calle Portal nº 13",,2004.0,42.65930355,-1.90130296376635
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cirauqui ,13/02/2004,Pastos en el paraje Iturmendi,,2004.0,42.65930355,-1.90130296376635
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cirauqui ,13/02/2004,Pastos en el paraje Zabalburua,,2004.0,42.65930355,-1.90130296376635
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Cirauqui ,13/02/2004,Cereal en paraje Arradiaq,,2004.0,42.65930355,-1.90130296376635
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Guirguillano ,13/02/2004,Pastos en “Bitartea”,,2004.0,42.7180835,-1.8782768
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Guirguillano ,13/02/2004,Pastos en “camino de S. Andrés”,,2004.0,42.7180835,-1.8782768
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Guirguillano ,13/02/2004,Parroquia S. Pedro,,2004.0,42.7180835,-1.8782768
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Guirguillano ,13/02/2004,Pastos en “Aparra”,,2004.0,42.7180835,-1.8782768
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Guirguillano ,13/02/2004,Parroquia S. Román,Etxarren,2004.0,42.7243351,-1.8786322270349
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Guirguillano ,13/02/2004,Gurguillano Tierra de labor “Etxarrenaldea”,,2004.0,42.7180835,-1.8782768
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Mañeru ,13/02/2004,Parroquia S. Pedro,,2004.0,42.6695386,-1.8620743
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Garralda ,13/03/2003,Parroquia San Juan,,2003.0,42.9471679,-1.2880781
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Izalzu,13/03/2003,Parroquia S. Salvador,,2003.0,42.92754955,-1.03019501714368
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Jaurrieta,13/03/2003,Parroquia S. Salvador,,2003.0,42.8871323,-1.1361277
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Roncal- Isaba,13/03/2003,Parroquia S. Cipriano,,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urzainqui,13/03/2003,Parroquia S. Martin, ,2003.0,42.8407792,-0.943315021268308
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Guesalaz,13/09/2005,Finca nº 29 Concwntración Parcelaria, Iturgoyen ,2005.0,42.7753972,-1.9542988
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Guesalaz,13/09/2005,Finca nº 29 Concwntración Parcelaria, Iturgoyen,2005.0,42.7753972,-1.9542988
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Sada ,13/11/2002,Parroquia S. Vicente,,2002.0,42.5871778,-1.3983063
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aoiz ,13/11/2003,Parroquia S. Miguel,,2003.0,42.7825786,-1.37114686099862
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aoiz ,13/11/2003,Casa Parroquial,,2003.0,42.7825786,-1.37114686099862
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aoiz ,13/11/2003,Atrio frente a parroquia,,2003.0,42.7825786,-1.37114686099862
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aoiz ,13/11/2003,Garaje c/ S. Miguel 1-C,,2003.0,42.7825786,-1.37114686099862
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ezprogui,13/11/2003,Finca de pastos,Ayesa,2003.0,42.5924602,-1.4319257
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ezprogui,13/11/2003,Parroquia S. Andres,Ayesa,2003.0,42.5924602,-1.4319257
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Parroquia S. Esteban,Aos ,2003.0,42.7567294,-1.3864265
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Finca en Lanoa,Aos ,2003.0,42.7567294,-1.3864265
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Finca en Lanoa,Aos ,2003.0,42.7567294,-1.3864265
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Finca en Lanoa,Aos ,2003.0,42.7567294,-1.3864265
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Finca en Lanoa parcela 104,Aos ,2003.0,42.7567294,-1.3864265
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Parroquia La Asuncion,Artajo,2003.0,42.7291847,-1.3402705
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Finca en plaza Alberto Martin,Artajo,2003.0,42.7291847,-1.3402705
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Finca parcela 302 en Llano,Artajo,2003.0,42.7291847,-1.3402705
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Parroquia S. Pedro,Meoz ,2003.0,42.7673526,-1.3509993
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Longuida,13/11/2003,Parroquia La Asuncion,Murillo ,2003.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Eulate,14/04/2001,Solar debajo Zaldiburu,,2001.0,42.7764335,-2.2061503
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,14/04/2005,Ermita de San Blas,,2005.0,42.7073588,-2.08981655315659
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,14/04/2005,Ermita de Santa Bárbara,Galdeano ,2005.0,42.7252424,-2.0929555
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,14/04/2005,Parroquia La Asunción,Larrión ,2005.0,42.7127766,-2.0735939
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,14/04/2005,Parroquia San Vicente,Munieta ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,14/04/2005,Parroquia La Asunción,Zubelqui ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,14/04/2005,Parroquia de San Esteban,Artavia ,2005.0,42.733286,-2.0822535
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,14/04/2005,Parroquia San Sebastian,Eulz ,2005.0,42.696164,-2.0752098
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín ,14/04/2005,Parroquia San Pedro,Galdeano ,2005.0,42.7252424,-2.0929555
REGISTRO DE LA PROPIEDAD DE TAFALLA,Leoz ,14/04/2005,Parroquia S. Esteban,Amatriain ,2005.0,42.5810938,-1.6079777
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lerín,14/06/2005,Paraje Corraliza de Lagaza,Olivar ,2005.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lerín,14/06/2006,Parroquia Santa María,,2006.0,42.4814412,-1.9737376
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Lerín,14/06/2006,Ermita Virgen Blanca,,2006.0,42.4814412,-1.9737376
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Donamaría,14/08/2007,Arbolado en Elizondoa,Gaztelu ,2007.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Arce,14/10/2003,Parroquia S. Julian,Nagore ,2003.0,42.8527538,-1.3756411
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Caseda,14/10/2003,Parroquia La Asuncion,,2003.0,42.5242929,-1.3674903
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Caseda,14/10/2003,Complejo parroquial,San Isidro ,2003.0,42.4441886,-1.3693352
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Urroz,14/10/2003,Parroquia La Asuncion, ,2003.0,42.77622695,-1.45345561675131
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,14/11/2001,Casa – Calle San Anddrés nº 25 B,Zariquiegui,2001.0,42.7499744,-1.72173674283831
REGISTRO DE LA PROPIEDA DE PAMPLONA/IRUÑA Nº .4.,Cendea de Cizur,14/11/2001,Casa- Calle San Andrés nº 25 A,Zariquiegui,2001.0,42.7499744,-1.72173674283831
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Almandoz ,14/12/1999,Ermita Santa Bárbara,,1999.0,43.0905096,-1.6053991
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Arano ,14/12/1999,Ermita San Roque,,1999.0,43.1995483,-1.8948332
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Doneztebe ,14/12/1999,Ermita San Miguel,,1999.0,43.1316283,-1.6689717
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Goizueta ,14/12/1999,Ermita San Lázaro,,1999.0,43.1718302,-1.8639931
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Goizueta ,14/12/1999,Ermita San Antón,,1999.0,43.1718302,-1.8639931
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Labayen ,14/12/1999,Ermita San Marcos,,1999.0,43.1431108,-1.5196514
REGISTRO DE LA PROPIEDAD DE PAMPLONA/IRUÑA Nº .5.,Labayen ,14/12/1999,Terreno Aexo Ermita San Marco,,1999.0,43.1431108,-1.5196514
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Allín,14-04.2005,Ermita San Cosme y San Damian,Galdeano,2005.0,42.7252424,-2.0929555
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esparza ,15/03/2003,Parroquia S. Andres,,2003.0,42.7563153,-1.6838886
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ezkaroz ,15/03/2003,Parroquia S. Roman,,2003.0,42.8226156,-1.6509844
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Güesa ,15/03/2003,Parroquia San Esteban,,2003.0,42.8061528,-1.0951832
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Güesa ,15/03/2003,Parroquia San Vicente,Igal ,2003.0,42.8129763,-1.0650303
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Valcarlos,15/03/2003,Parroquia Santiago,Luzaide ,2003.0,43.100348,-1.2933977
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra ,15/10/2002,Terreno regadío nº9 Poligono 1 La planilla,,2002.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Azagra ,15/10/2002,Regadío finca nº9 La planilla,,2002.0,42.3114896,-1.8943821
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lerga ,15/10/2003,Parroquia S. Martin,,2003.0,42.5677782,-1.4999336
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Esteribar,16/04/2003,Parroquia S. Esteban,Zabaldika ,2003.0,42.8562024,-1.5820055
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Barbarin ,16/05/2005,"Terreno de secano, nº 97 Concentración",,2005.0,0.0,0.0
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Barbarin ,16/05/2005,Finca nº 97 concentración parcelaria,,2005.0,42.6016906,-2.1005686
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Eslava ,16/08/2003,Parroquia S. Miguel,,2003.0,42.5642869,-1.4597313
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Javier ,16/08/2003,Parroquia La Asuncion,,2003.0,42.5911918,-1.2086914
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Javier ,16/08/2003,Casa Parroquial,,2003.0,42.5911918,-1.2086914
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Leatxe ,16/08/2003,Parroquia La Asuncion,,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Liedena ,16/08/2003,Parroquia La Asuncion,,2003.0,42.6191551,-1.2748872
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Liedena ,16/08/2003,Finca el Abrevadero,,2003.0,42.6191551,-1.2748872
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Parroquia Sta. Maria,Beortegui ,2003.0,42.8027877,-1.4350459
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Parroquia S. Pedro,Lerruz ,2003.0,42.7877376,-1.4945225
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Parroquia S. Miguel, ,2003.0,42.7992698,-1.4677975
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Parroquia S. Pedro,Mendioroz ,2003.0,42.8189193,-1.4909019
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Fronton c/ S. Pedro,,2003.0,42.7992698,-1.4677975
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Parroquia S. Pedro,Oscariz ,2003.0,42.8193385,-1.4549938
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Parroquia S. Andres,Redin ,2003.0,42.8137279,-1.4707694
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Parroquia La Purisima,Uroz ,2003.0,42.8070945,-1.4889058
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Parroquia S. Juan,Zalba ,2003.0,42.8342228,-1.4501619
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lizoain,16/08/2003,Parroquia S. Roman,Zunzarren ,2003.0,42.8572782,-1.4579649
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lumbier,16/08/2003,Parroquia La Asuncion, ,2003.0,42.6522082,-1.3083408
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Romanzado,16/08/2003,Parroquia S. Esteban,Arbonies,2003.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Romanzado,16/08/2003,Parroquia La Asuncion,Domeño ,2003.0,42.6751672,-1.239248
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Romanzado,16/08/2003,Parroquia S. Vicente,Murillo Berroya ,2003.0,42.702622,-1.2617548
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Romanzado,16/08/2003, Parroquia S. Saturnino,Usun,2003.0,,
